
====================================================================================================
WINDOW since 09-22 13:30Z: 358 closed trades/settlements
fees paid on fills by book (both legs): {'alpaca-paper': 10.28, 'kalshi-shadow': 25.55, 'kalshi': 0.2, 'alpaca': 0.03}

### by book: key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
kalshi-shadow | -361.25 | 150 | -2.408 | -26.92 | 24 | 1925
('kalshi-shadow', 'crypto-15m-prior-window-fade') | -11.43 | 2 | -5.716 | +0.00 | 0 | 23
('kalshi-shadow', 'crypto-15m-lab-335592') | -11.11 | 3 | -3.704 | +0.00 | 0 | 27
('alpaca-paper', 'crypto-alts-funded-spot-hedge') | -10.24 | 4 | -2.560 | +0.00 | 0 | 188
('kalshi-shadow', 'crypto-15m-prior-window-reset') | -9.67 | 10 | -0.967 | +0.00 | 0 | 223
('alpaca-paper', 'crypto-majors-absorbed-buy-program') | -2.85 | 2 | -1.427 | +0.00 | 0 | 98
('alpaca-paper', 'crypto-majors-funding-short-relief') | -2.78 | 2 | -1.392 | +0.00 | 0 | 131
('kalshi', 'crypto-15m-prior-window-reset') | -2.55 | 1 | -2.546 | +0.00 | 0 | 3
('kalshi', 'crypto-15m-doge-flat-spot-no') | -1.52 | 1 | -1.520 | +0.00 | 0 | 2
('alpaca-paper', 'equity-trend') | -1.09 | 9 | -0.121 | -0.18 | 4 | 275
('alpaca-paper', 'crypto-alts-alt-basket-catchup') | -0.68 | 1 | -0.677 | +0.00 | 0 | 19
('alpaca-paper', 'crypto-reversion') | -0.58 | 2 | -0.292 | +0.00 | 0 | 23
('alpaca', 'crypto-alts-reversion') | -0.51 | 1 | -0.505 | +0.00 | 0 | 12
('alpaca-paper', 'equity-overnight') | +0.00 | 0 | +nan | -0.29 | 4 | 80
('alpaca-paper', 'index-etfs-real-asset-rotation') | -0.08 | 1 | -0.075 | +0.00 | 0 | 20
('alpaca-paper', 'megacaps-semiconductor-catchu') | -0.05 | 3 | -0.018 | +0.00 | 0 | 165
('alpaca-paper', 'index-etfs-duration-to-assets') | -0.04 | 1 | -0.045 | +0.00 | 0 | 15
('alpaca-paper', 'megacaps-expanding-range-chas') | +0.02 | 13 | +0.002 | +0.00 | 0 | 195
('alpaca-paper', 'megacaps-chip-demand-relay') | +0.18 | 2 | +0.092 | +0.00 | 0 | 50
('alpaca-paper', 'megacaps-quiet-vwap-reclaim') | +0.36 | 2 | +0.178 | +0.00 | 0 | 50
('kalshi-shadow', 'crypto-15m-spot-impulse-lag') | +0.94 | 1 | +0.936 | +0.00 | 0 | 11
('alpaca-paper', 'options-breakout') | +0.00 | 0 | +nan | +1.00 | 1 | 21
('kalshi-shadow', 'weather-favorites') | +0.42 | 18 | +0.023 | +2.00 | 3 | 197
('alpaca-paper', 'crypto-alts-trend') | +0.00 | 0 | +nan | +4.74 | 2 | 79
('kalshi', 'weather-favorites') | +5.00 | 9 | +0.556 | +0.00 | 0 | 86
('kalshi-shadow', 'sports-central-run-under') | +7.19 | 7 | +1.027 | +0.00 | 0 | 73

### by book x horizon: key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
('kalshi-shadow', 'hour') | -262.36 | 60 | -4.373 | +0.00 | 0 | 792
('kalshi-shadow', 'day') | -98.89 | 90 | -1.099 | -26.92 | 24 | 1133
('alpaca-paper', 'day') | -45.09 | 18 | -2.505 | -20.18 | 11 | 550
('alpaca-paper', 'hour') | -56.19 | 134 | -0.419 | +4.77 | 9 | 4438
('kalshi', 'hour') | -4.07 | 2 | -2.033 | +0.00 | 0 | 4
('alpaca', 'hour') | -0.51 | 1 | -0.505 | +0.00 | 0 | 12
('kalshi', 'day') | +5.00 | 9 | +0.556 | +0.00 | 0 | 86

### by book x asset class: key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
('kalshi-shadow', 'event') | -361.25 | 150 | -2.408 | -26.92 | 24 | 1925
('alpaca-paper', 'option') | -44.00 | 9 | -4.889 | -20.00 | 7 | 275
